,Estimate,Std. Error,t value,Pr(t),outcome
age22-29,0.441923642,0.055670277,7.938233213,2.04E-08,lifetime_misuse
age30-49,0.440613372,0.060437105,7.290444683,9.64E-08,lifetime_misuse
age50+,-0.343494542,0.087323319,-3.933594675,0.000555772,lifetime_misuse
hasInsurance,-0.13374262,0.068252591,-1.959524451,0.060854341,lifetime_misuse
marStat,-0.364928607,0.054703265,-6.671057108,4.46E-07,lifetime_misuse
metro,0.179503854,0.065925865,2.722813772,0.011405425,lifetime_misuse
incomeF20k-49k,-0.100425111,0.062611406,-1.603942759,0.120806825,lifetime_misuse
incomeF50k-74k,-0.111823059,0.076967499,-1.452860762,0.158225782,lifetime_misuse
incomeF75k+,-0.087337583,0.066942669,-1.304662387,0.203438438,lifetime_misuse
healthFair/Poor,0.860209102,0.077620293,11.08227075,2.39E-11,lifetime_misuse
healthGood,0.573904733,0.073712404,7.785728069,2.93E-08,lifetime_misuse
healthVery Good,0.461134166,0.071756055,6.426414719,8.27E-07,lifetime_misuse
(Intercept),-2.27545089,0.143959091,-15.80623268,7.52E-15,pastyr_use
sexMen,-0.190881147,0.028137484,-6.783874056,3.36E-07,pastyr_use
employmentemployed part time,-0.013634909,0.042402926,-0.321555857,0.750360069,pastyr_use
employmentother,0.116664924,0.036738439,3.175554718,0.00382753,pastyr_use
employmentunemployed,0.14785764,0.064242236,2.301564363,0.029626133,pastyr_use
edhigh school grad,-0.029983744,0.047242145,-0.6346821,0.531181526,pastyr_use
edless than high school,-0.168699742,0.062011955,-2.720439035,0.011469056,pastyr_use
edsome col/assoc dg,0.240717579,0.04354155,5.5284568,8.38E-06,pastyr_use
raceBlack,0.742182409,0.098485691,7.53594153,5.32E-08,pastyr_use
racehispanic,0.432310429,0.099528121,4.343600829,0.000189958,pastyr_use
racemore than one,0.914821432,0.142936091,6.400213043,8.84E-07,pastyr_use
raceNative Am/AK/pac isl,0.996984217,0.136131653,7.323676733,8.89E-08,pastyr_use
raceNHW,0.821611188,0.086908309,9.45377028,6.74E-10,pastyr_use
age22-29,0.226173415,0.056666674,3.991295034,0.000478237,pastyr_use
age30-49,0.367183303,0.050820487,7.22510403,1.13E-07,pastyr_use
age50+,0.224173593,0.061086911,3.669748383,0.001099396,pastyr_use
hasInsurance,0.227530223,0.057498701,3.957136739,0.000522746,pastyr_use
marStat,-0.118781347,0.035914018,-3.307381185,0.002757199,pastyr_use
metro,-0.01178939,0.038108145,-0.309366676,0.759508347,pastyr_use
incomeF20k-49k,-0.05450935,0.044415295,-1.227265283,0.23071967,pastyr_use
incomeF50k-74k,0.038265683,0.056242489,0.680369666,0.502284557,pastyr_use
incomeF75k+,0.061540233,0.060052313,1.02477706,0.314908943,pastyr_use
healthFair/Poor,1.227067535,0.060315867,20.34402536,1.71E-17,pastyr_use
healthGood,0.715717697,0.050675326,14.12359345,1.05E-13,pastyr_use
healthVery Good,0.362349008,0.041823275,8.663812405,3.84E-09,pastyr_use
(Intercept),-3.988471361,0.292860301,-13.61902363,2.41E-13,pastyr_misuse
sexMen,0.189798469,0.066414034,2.857806648,0.008288008,pastyr_misuse
employmentemployed part time,-0.013614213,0.088448416,-0.153922635,0.878859261,pastyr_misuse
employmentother,-0.1200739,0.079569133,-1.509051241,0.143343093,pastyr_misuse
employmentunemployed,0.427283333,0.100487385,4.252109174,0.000241622,pastyr_misuse
edhigh school grad,0.088974678,0.106923042,0.832137551,0.412909473,pastyr_misuse
edless than high school,0.093629059,0.134510182,0.696074141,0.492558425,pastyr_misuse
edsome col/assoc dg,0.383557545,0.094214214,4.071121845,0.000388276,pastyr_misuse
raceBlack,0.406666577,0.24204173,1.680150675,0.10490589,pastyr_misuse
racehispanic,0.453986418,0.262089814,1.732178796,0.09509113,pastyr_misuse
racemore than one,0.888519543,0.306989851,2.894296145,0.007595283,pastyr_misuse
raceNative Am/AK/pac isl,0.645386563,0.297415399,2.169983686,0.039330457,pastyr_misuse
raceNHW,0.894275537,0.215217671,4.155214262,0.000311567,pastyr_misuse
age22-29,0.159319554,0.082477814,1.931665573,0.064368882,pastyr_misuse
age30-49,-0.103109303,0.081082159,-1.27166449,0.214750352,pastyr_misuse
age50+,-0.979488289,0.107293125,-9.129087151,1.36E-09,pastyr_misuse
hasInsurance,-0.19525102,0.111335822,-1.753712466,0.09126273,pastyr_misuse
marStat,-0.362852916,0.073177074,-4.958560064,3.75E-05,pastyr_misuse
metro,0.029608263,0.078826085,0.375615034,0.710250282,pastyr_misuse
incomeF20k-49k,-0.127927034,0.07718905,-1.657321006,0.109474058,pastyr_misuse
incomeF50k-74k,-0.000163276,0.09946898,-0.001641479,0.998702819,pastyr_misuse
incomeF75k+,-0.057664715,0.073755428,-0.781836907,0.441372612,pastyr_misuse
healthFair/Poor,1.058134634,0.137880586,7.674282968,3.82E-08,pastyr_misuse
healthGood,0.637132627,0.118231518,5.388855994,1.21E-05,pastyr_misuse
healthVery Good,0.535195722,0.135358062,3.953925724,0.000527134,pastyr_misuse
(Intercept),-5.227808481,0.922741547,-5.665517609,5.86E-06,dependence
sexMen,0.4581183,0.170933912,2.680090186,0.012602439,dependence
employmentemployed part time,-0.23063895,0.259394544,-0.889143415,0.382078988,dependence
employmentother,0.023999821,0.212850016,0.112754612,0.911091181,dependence
employmentunemployed,0.782974106,0.266433318,2.938724444,0.00682588,dependence
edhigh school grad,0.085485917,0.214015359,0.399438233,0.692832651,dependence
edless than high school,0.172812093,0.31259127,0.552837233,0.585097192,dependence
edsome col/assoc dg,0.328515484,0.262920322,1.249486848,0.222618641,dependence
raceBlack,0.699404303,0.841947737,0.830698002,0.413707744,dependence
racehispanic,-0.077028836,0.857315197,-0.08984891,0.929095862,dependence
racemore than one,1.067315617,0.916095671,1.165070038,0.254568926,dependence
raceNative Am/AK/pac isl,1.290920979,0.935028909,1.380621462,0.179149822,dependence
raceNHW,1.35480601,0.79429035,1.705681066,0.09998808,dependence
age22-29,0.090774,0.235249977,0.385861885,0.702738275,dependence
age30-49,-0.2488136,0.257289187,-0.967058128,0.342425014,dependence
age50+,-0.956428608,0.312336008,-3.062178499,0.00505817,dependence
hasInsurance,-0.753047469,0.289475748,-2.601418167,0.015119845,dependence
marStat,-0.284712485,0.201985389,-1.4095697,0.170516738,dependence
metro,-0.10439268,0.17426252,-0.599054116,0.554321151,dependence
incomeF20k-49k,0.020785201,0.181315042,0.114635835,0.909614485,dependence
incomeF50k-74k,0.043437555,0.265601265,0.163544234,0.871354588,dependence
incomeF75k+,-0.541916725,0.329246922,-1.645927992,0.111815336,dependence
healthFair/Poor,1.402041288,0.311788792,4.496766155,0.000126878,dependence
healthGood,0.950264423,0.305641759,3.10907916,0.004508981,dependence
healthVery Good,0.784236558,0.272752338,2.875269792,0.007949335,dependence
(Intercept),-1.273423543,0.597551144,-2.131070379,0.042704127,srcOneDoc
sexMen,-0.147881393,0.151035984,-0.979113646,0.3365471,srcOneDoc
employmentemployed part time,-0.328556852,0.208917251,-1.57266502,0.127887775,srcOneDoc
employmentother,0.187357219,0.191422309,0.978763764,0.336716718,srcOneDoc
employmentunemployed,-0.521275083,0.240848086,-2.164331437,0.039805153,srcOneDoc
edhigh school grad,-0.315715557,0.236684665,-1.33390795,0.193801656,srcOneDoc
edless than high school,-0.447583263,0.277003813,-1.615801814,0.11820833,srcOneDoc
edsome col/assoc dg,-0.255550228,0.190883758,-1.338774077,0.192233178,srcOneDoc
raceBlack,0.218574368,0.405386331,0.539175477,0.594353237,srcOneDoc
racehispanic,-0.268125165,0.410752867,-0.652765169,0.519638266,srcOneDoc
racemore than one,0.485425419,0.521007256,0.93170568,0.360060175,srcOneDoc
raceNative Am/AK/pac isl,-0.577433033,0.504173031,-1.145307261,0.262515214,srcOneDoc
raceNHW,-0.238526409,0.408953763,-0.583260091,0.56474374,srcOneDoc
age22-29,0.078445623,0.233718787,0.335641067,0.739834951,srcOneDoc
age30-49,0.281270091,0.255591058,1.100469215,0.281212412,srcOneDoc
age50+,0.662755233,0.298962389,2.216851544,0.035586251,srcOneDoc
hasInsurance,0.346276183,0.247022979,1.401797454,0.172801592,srcOneDoc
marStat,0.408607835,0.16191305,2.523625087,0.01806341,srcOneDoc
metro,0.445170585,0.191558192,2.323944386,0.028210965,srcOneDoc
incomeF20k-49k,-0.344042079,0.186348476,-1.846229638,0.076273804,srcOneDoc
incomeF50k-74k,-0.404940035,0.237283949,-1.706563114,0.09982171,srcOneDoc
incomeF75k+,-0.190491933,0.208963236,-0.91160501,0.370351891,srcOneDoc
healthFair/Poor,0.176832605,0.251190431,0.703978271,0.487703927,srcOneDoc
healthGood,0.159926099,0.212551803,0.752409984,0.458562874,srcOneDoc
healthVery Good,0.228836709,0.225994142,1.012578055,0.320592728,srcOneDoc
(Intercept),-6.705941665,2.506582025,-2.675333022,0.012742774,srcMultDocs
sexMen,-0.07621058,0.390037831,-0.19539279,0.84660443,srcMultDocs
employmentemployed part time,-0.2886138,0.967556736,-0.298291345,0.767851696,srcMultDocs
employmentother,-0.782277014,0.839767844,-0.931539615,0.360144416,srcMultDocs
employmentunemployed,-0.198977275,0.841560031,-0.236438599,0.814945169,srcMultDocs
edhigh school grad,-1.703492527,0.867870674,-1.962841445,0.060447298,srcMultDocs
edless than high school,-0.403710232,0.802746167,-0.502911442,0.619260252,srcMultDocs
edsome col/assoc dg,-1.2199927,0.7205064,-1.693243392,0.102359065,srcMultDocs
raceBlack,-0.389416288,1.429613582,-0.272392689,0.78747172,srcMultDocs
racehispanic,-0.542458754,1.440729973,-0.376516602,0.709588129,srcMultDocs
racemore than one,-1.591002578,1.739792786,-0.914478202,0.368869051,srcMultDocs
raceNative Am/AK/pac isl,-0.446652001,1.780037364,-0.250922823,0.803846221,srcMultDocs
raceNHW,-1.572000474,1.326738454,-1.184860867,0.246790268,srcMultDocs
age22-29,-3.117854533,0.753279414,-4.139041203,0.000325053,srcMultDocs
age30-49,-1.399197324,0.550614936,-2.541153957,0.017357137,srcMultDocs
age50+,0.113439881,0.58055118,0.195400311,0.846598603,srcMultDocs
hasInsurance,0.389508593,0.692753369,0.562261564,0.578753655,srcMultDocs
marStat,-1.764003267,0.829259647,-2.127202587,0.043053218,srcMultDocs
metro,0.690666746,0.698007232,0.989483653,0.331546258,srcMultDocs
incomeF20k-49k,3.534099656,0.936228873,3.774824468,0.000838746,srcMultDocs
incomeF50k-74k,1.787948292,1.039964597,1.719239576,0.097456401,srcMultDocs
incomeF75k+,2.324946474,1.151595647,2.018891335,0.053921757,srcMultDocs
healthFair/Poor,3.210763859,1.099590203,2.919964046,0.00714128,srcMultDocs
healthGood,2.687285242,1.10853867,2.424169146,0.022599862,srcMultDocs
healthVery Good,1.747193593,1.101036232,1.58686294,0.124632228,srcMultDocs
(Intercept),-4.41930597,1.110694101,-3.97886868,0.000493979,srcDrugDeal
sexMen,0.441719621,0.223780022,1.973901057,0.059107328,srcDrugDeal
employmentemployed part time,-0.026161781,0.355391028,-0.073614072,0.941880901,srcDrugDeal
employmentother,-0.151180383,0.357817663,-0.422506763,0.676128908,srcDrugDeal
employmentunemployed,0.266613101,0.316551033,0.842243664,0.407332584,srcDrugDeal
edhigh school grad,2.260118493,0.626818599,3.605697877,0.001295541,srcDrugDeal
edless than high school,2.370376697,0.671522661,3.52985362,0.001572205,srcDrugDeal
edsome col/assoc dg,1.783681326,0.610320059,2.922534334,0.007097264,srcDrugDeal
raceBlack,-0.014221251,0.687913835,-0.020673012,0.983664335,srcDrugDeal
racehispanic,0.485758722,0.709503116,0.684646354,0.499625295,srcDrugDeal
racemore than one,0.708340941,0.877743077,0.807002595,0.42698605,srcDrugDeal
raceNative Am/AK/pac isl,0.349864678,0.956029969,0.365955765,0.71735894,srcDrugDeal
raceNHW,0.629001926,0.652474648,0.964025081,0.343914715,srcDrugDeal
age22-29,0.061850717,0.270234626,0.228877837,0.820754634,srcDrugDeal
age30-49,-0.067105353,0.267551787,-0.250812577,0.803930545,srcDrugDeal
age50+,-0.439674347,0.552928706,-0.795173667,0.433712015,srcDrugDeal
hasInsurance,-0.121309494,0.320754125,-0.378200885,0.708351735,srcDrugDeal
marStat,-0.717651624,0.334542243,-2.145174903,0.04145247,srcDrugDeal
metro,-0.564567558,0.275494648,-2.049286844,0.050649794,srcDrugDeal
incomeF20k-49k,-0.067398555,0.3043299,-0.22146544,0.826460226,srcDrugDeal
incomeF50k-74k,-0.043083618,0.381669692,-0.112881947,0.910991217,srcDrugDeal
incomeF75k+,-0.4253076,0.388896997,-1.093625312,0.284148521,srcDrugDeal
healthFair/Poor,-0.150307263,0.377275034,-0.398402357,0.693586521,srcDrugDeal
healthGood,-0.158760949,0.350489479,-0.452969229,0.654328424,srcDrugDeal
healthVery Good,-0.054091213,0.363799195,-0.148684257,0.882949997,srcDrugDeal
(Intercept),-3.388329746,0.884779717,-3.829574393,0.000728019,srcBoughtFrRel
sexMen,0.079934009,0.207019273,0.386118681,0.702550407,srcBoughtFrRel
employmentemployed part time,0.063344151,0.301220419,0.210291691,0.835079332,srcBoughtFrRel
employmentother,0.257707588,0.251546717,1.024491956,0.315040974,srcBoughtFrRel
employmentunemployed,0.712279086,0.323155927,2.204134371,0.036569061,srcBoughtFrRel
edhigh school grad,-0.018999247,0.334112894,-0.056864752,0.955087696,srcBoughtFrRel
edless than high school,-0.18990111,0.44379543,-0.427902356,0.67224584,srcBoughtFrRel
edsome col/assoc dg,0.529588351,0.331345088,1.598298484,0.122060089,srcBoughtFrRel
raceBlack,0.646295803,1.049008873,0.616101369,0.543184396,srcBoughtFrRel
racehispanic,0.675719917,0.784793504,0.861016196,0.397100179,srcBoughtFrRel
racemore than one,0.12484205,1.114544504,0.112011723,0.911674413,srcBoughtFrRel
raceNative Am/AK/pac isl,1.619743166,1.078825346,1.501395172,0.145301517,srcBoughtFrRel
raceNHW,1.138080311,0.97794374,1.163748245,0.255094811,srcBoughtFrRel
age22-29,0.185306084,0.286704641,0.646330954,0.523729771,srcBoughtFrRel
age30-49,-0.215990734,0.333079244,-0.648466508,0.522369839,srcBoughtFrRel
age50+,0.386608006,0.454359312,0.850886062,0.402601317,srcBoughtFrRel
hasInsurance,-0.586306171,0.290934836,-2.015249116,0.054326099,srcBoughtFrRel
marStat,-0.877123141,0.348101167,-2.519736283,0.018223665,srcBoughtFrRel
metro,-0.313066759,0.284306367,-1.101159859,0.280917333,srcBoughtFrRel
incomeF20k-49k,-0.060585519,0.325736013,-0.185995764,0.853891613,srcBoughtFrRel
incomeF50k-74k,-0.052081718,0.305902643,-0.170255862,0.866126846,srcBoughtFrRel
incomeF75k+,0.081605995,0.36082076,0.226167683,0.822839592,srcBoughtFrRel
healthFair/Poor,1.205595396,0.343076302,3.51407366,0.001636611,srcBoughtFrRel
healthGood,0.58961156,0.326470538,1.806017668,0.08250634,srcBoughtFrRel
healthVery Good,0.723880079,0.314020585,2.305199447,0.029391964,srcBoughtFrRel
(Intercept),-16.29010771,0.715271663,-22.77471421,1.06E-18,srcTookFrRel
sexMen,-0.377657879,0.248797198,-1.517934617,0.141097643,srcTookFrRel
employmentemployed part time,-0.024345379,0.415758754,-0.058556503,0.953753097,srcTookFrRel
employmentother,0.463571537,0.310393644,1.493495586,0.147344908,srcTookFrRel
employmentunemployed,0.844314902,0.368040328,2.294082571,0.030113454,srcTookFrRel
edhigh school grad,-0.888477108,0.421172629,-2.109531927,0.044680766,srcTookFrRel
edless than high school,-1.278727855,0.563866559,-2.267784524,0.03188472,srcTookFrRel
edsome col/assoc dg,-0.927666251,0.45873418,-2.0222305,0.053553396,srcTookFrRel
raceBlack,14.40008966,0.525800286,27.38699474,1.05E-20,srcTookFrRel
racehispanic,15.25852276,0.379977034,40.15643418,6.31E-25,srcTookFrRel
racemore than one,15.0061237,0.546400955,27.46357518,9.83E-21,srcTookFrRel
raceNative Am/AK/pac isl,15.26882302,0.825868724,18.48819622,1.76E-16,srcTookFrRel
raceNHW,14.59734405,0.276568026,52.78030237,5.62E-28,srcTookFrRel
age22-29,-0.485785225,0.366327293,-1.326096183,0.196340361,srcTookFrRel
age30-49,-0.910469772,0.363543792,-2.504429434,0.018867326,srcTookFrRel
age50+,-2.622565289,0.841002692,-3.118379183,0.004407088,srcTookFrRel
hasInsurance,-0.342792303,0.31109694,-1.101882592,0.280608783,srcTookFrRel
marStat,0.142553551,0.373112726,0.382065635,0.705517788,srcTookFrRel
metro,0.063224332,0.325216129,0.194407124,0.847368152,srcTookFrRel
incomeF20k-49k,-0.52783692,0.327130053,-1.613538455,0.118700653,srcTookFrRel
incomeF50k-74k,-0.247216643,0.355115325,-0.696158755,0.492506313,srcTookFrRel
incomeF75k+,-0.304936949,0.362909235,-0.840256791,0.408425237,srcTookFrRel
healthFair/Poor,-0.259962196,0.647458633,-0.401511668,0.691324651,srcTookFrRel
healthGood,0.497934894,0.464648119,1.071638674,0.293729389,srcTookFrRel
healthVery Good,0.0320529,0.468516027,0.068413668,0.945979777,srcTookFrRel
(Intercept),-1.22620859,0.612828913,-2.000898725,0.055945375,gotFrRel
sexMen,0.126759083,0.144885975,0.874888566,0.389645105,gotFrRel
employmentemployed part time,0.283726965,0.181549735,1.562805726,0.130189413,gotFrRel
employmentother,-0.361691214,0.145355685,-2.488318329,0.019567477,gotFrRel
employmentunemployed,-0.122837605,0.182283289,-0.673882976,0.50633309,gotFrRel
edhigh school grad,0.079732581,0.170138723,0.468632768,0.643237592,gotFrRel
edless than high school,-0.168621585,0.231752042,-0.72759482,0.473363364,gotFrRel
edsome col/assoc dg,0.011959756,0.166721758,0.071734825,0.943361912,gotFrRel
raceBlack,0.35902679,0.510460161,0.703339492,0.48809523,gotFrRel
racehispanic,0.442064125,0.510966952,0.865152087,0.394868056,gotFrRel
racemore than one,0.201246969,0.65375064,0.30783445,0.760660876,gotFrRel
raceNative Am/AK/pac isl,0.10555326,0.781829116,0.135008095,0.893645239,gotFrRel
raceNHW,0.552841865,0.500695692,1.104147437,0.279643449,gotFrRel
age22-29,0.352798799,0.149819607,2.354823946,0.026359464,gotFrRel
age30-49,0.244852972,0.163341138,1.4990282,0.145911359,gotFrRel
age50+,-0.338440468,0.21539695,-1.571240759,0.128218183,gotFrRel
hasInsurance,0.059737021,0.197899694,0.301855044,0.765163901,gotFrRel
marStat,0.293008125,0.164013137,1.786491809,0.08568714,gotFrRel
metro,-0.052043736,0.164209643,-0.316934716,0.753824059,gotFrRel
incomeF20k-49k,0.29833201,0.14469658,2.061776517,0.049357153,gotFrRel
incomeF50k-74k,0.212156889,0.203509385,1.042491915,0.30678066,gotFrRel
incomeF75k+,0.226133328,0.159666941,1.416281455,0.168562977,gotFrRel
healthFair/Poor,-0.352941638,0.248412723,-1.420787288,0.167261355,gotFrRel
healthGood,-0.180960956,0.198084738,-0.913553248,0.369345988,gotFrRel
healthVery Good,-0.233522508,0.193402265,-1.207444538,0.238130841,gotFrRel
(Intercept),-2.683651816,0.721744875,-3.718283161,0.000970404,rsnPain
sexMen,-0.201438752,0.176536512,-1.141059993,0.264246403,rsnPain
employmentemployed part time,0.201061865,0.269726064,0.745429872,0.46269805,rsnPain
employmentother,-0.131481389,0.220004462,-0.597630558,0.555256469,rsnPain
employmentunemployed,0.07674263,0.300973413,0.254981425,0.800743587,rsnPain
edhigh school grad,-0.232218346,0.256161062,-0.906532569,0.372979306,rsnPain
edless than high school,-0.475772559,0.313032619,-1.519881732,0.140609313,rsnPain
edsome col/assoc dg,0.061181491,0.255176844,0.239761141,0.812395607,rsnPain
raceBlack,0.621608042,0.481635252,1.290619903,0.208194962,rsnPain
racehispanic,-0.375658406,0.673911633,-0.557429769,0.582001674,rsnPain
racemore than one,1.136885701,0.73407599,1.548730263,0.133534155,rsnPain
raceNative Am/AK/pac isl,-0.829808015,0.858796119,-0.966245652,0.342823638,rsnPain
raceNHW,0.425318068,0.503466785,0.844778804,0.405941101,rsnPain
age22-29,0.35274244,0.253184677,1.393221909,0.175350638,rsnPain
age30-49,0.551285329,0.28483817,1.935433471,0.063883398,rsnPain
age50+,0.332325733,0.333603013,0.996171257,0.328348322,rsnPain
hasInsurance,0.19345791,0.222044191,0.871258595,0.391587115,rsnPain
marStat,-0.222942878,0.20375499,-1.094171374,0.283913451,rsnPain
metro,-0.166243768,0.228912331,-0.726233343,0.474183368,rsnPain
incomeF20k-49k,0.397067848,0.260915926,1.521822967,0.140123828,rsnPain
incomeF50k-74k,-0.059892395,0.331613474,-0.18060905,0.85807489,rsnPain
incomeF75k+,0.029669095,0.265540844,0.111730814,0.911894965,rsnPain
healthFair/Poor,0.631422525,0.346190599,1.823915861,0.079680201,rsnPain
healthGood,0.230594041,0.353809853,0.651745674,0.520285394,rsnPain
healthVery Good,0.173059231,0.357975095,0.483439304,0.632830328,rsnPain
(Intercept),-18.91111306,0.991462733,-19.0739525,8.27E-17,rsnEmot
sexMen,-0.608814476,0.416877116,-1.460417117,0.156154986,rsnEmot
employmentemployed part time,0.142412932,0.41104395,0.346466436,0.731780519,rsnEmot
employmentother,-1.040452389,0.644404224,-1.614595854,0.118470437,rsnEmot
employmentunemployed,-0.227028755,0.432608591,-0.524790214,0.604175411,rsnEmot
edhigh school grad,-0.062568039,0.587955824,-0.106416225,0.916068962,rsnEmot
edless than high school,-2.094918936,0.981773138,-2.133811627,0.042458248,rsnEmot
edsome col/assoc dg,-0.224511215,0.650054722,-0.345372794,0.732592824,rsnEmot
raceBlack,14.68105384,0.602366774,24.37228359,1.96E-19,rsnEmot
racehispanic,14.78039242,0.513428349,28.7876438,3.00E-21,rsnEmot
racemore than one,15.54059635,0.631658423,24.6028483,1.55E-19,rsnEmot
raceNative Am/AK/pac isl,15.22393096,0.955714273,15.9293749,6.26E-15,rsnEmot
raceNHW,15.08831394,0.360860099,41.81208726,2.24E-25,rsnEmot
age22-29,-0.898920593,0.382028828,-2.3530177,0.02646463,rsnEmot
age30-49,-1.074422061,0.437082773,-2.458166113,0.020942717,rsnEmot
age50+,-1.475348386,1.31566413,-1.121371597,0.272380225,rsnEmot
hasInsurance,-0.276694481,0.330360081,-0.837554223,0.40991444,rsnEmot
marStat,-0.542464294,0.660742028,-0.820992567,0.419114881,rsnEmot
metro,0.540544671,0.5081751,1.063697673,0.29724553,rsnEmot
incomeF20k-49k,0.985005848,0.385258937,2.556737182,0.016750856,rsnEmot
incomeF50k-74k,0.869759885,0.502516591,1.730808295,0.09533933,rsnEmot
incomeF75k+,1.277305596,0.458684916,2.78471245,0.009859295,rsnEmot
healthFair/Poor,0.954622274,0.911363947,1.04746548,0.304525262,rsnEmot
healthGood,0.812905669,0.725289052,1.120802344,0.272618069,rsnEmot
healthVery Good,0.500564678,0.537231299,0.931748912,0.360038247,rsnEmot
(Intercept),-5.489029279,1.199900744,-4.574569442,0.000103331,rsnHigh
sexMen,0.754846916,0.211366277,3.571274124,0.001414666,rsnHigh
employmentemployed part time,-0.014449207,0.305091154,-0.047360293,0.962587994,rsnHigh
employmentother,0.375508125,0.303445217,1.237482434,0.226967783,rsnHigh
employmentunemployed,1.192544154,0.369698702,3.225719071,0.003379977,rsnHigh
edhigh school grad,-0.766104099,0.355675393,-2.153941807,0.040691144,rsnHigh
edless than high school,-1.127008476,0.437754246,-2.57452323,0.016082934,rsnHigh
edsome col/assoc dg,-0.720712314,0.301945164,-2.386898019,0.024554542,rsnHigh
raceBlack,1.510745749,1.183086036,1.276953411,0.212905621,rsnHigh
racehispanic,2.306893748,1.16887358,1.973604151,0.059142957,rsnHigh
racemore than one,2.709055595,1.257279206,2.15469689,0.040626162,rsnHigh
raceNative Am/AK/pac isl,3.500360952,1.281598351,2.731246454,0.011182138,rsnHigh
raceNHW,3.309282166,1.026278422,3.224546181,0.003389841,rsnHigh
age22-29,-0.265519748,0.309590011,-0.857649598,0.398923054,rsnHigh
age30-49,-0.828448855,0.32885393,-2.519200103,0.018245863,rsnHigh
age50+,-1.71936464,0.572424286,-3.003654252,0.00583346,rsnHigh
hasInsurance,-0.224446198,0.411959581,-0.544825776,0.590516482,rsnHigh
marStat,0.062642613,0.340699855,0.183864513,0.855546212,rsnHigh
metro,0.203642806,0.32165263,0.633114071,0.532188924,rsnHigh
incomeF20k-49k,0.244454238,0.367117433,0.665874775,0.511356202,rsnHigh
incomeF50k-74k,0.611115958,0.405884365,1.50564055,0.144212886,rsnHigh
incomeF75k+,0.081869257,0.362815755,0.225649674,0.823238255,rsnHigh
healthFair/Poor,-0.193658718,0.463952114,-0.417411005,0.679804588,rsnHigh
healthGood,-0.226569842,0.396074342,-0.572038677,0.572209015,rsnHigh
healthVery Good,0.032150649,0.351473694,0.091473842,0.927817225,rsnHigh
(Intercept),-5.513243905,1.302247868,-4.233636346,0.000253634,rsnRelax
